PLAYER_NAME,TEAM,SALARY,SALARY_M
Jarace Walker ,Indiana Pacers,6665520,6.67
Dean Wade ,Cleveland Cavaliers,6623456,6.62
Jalen Williams ,Oklahoma City Thunder,6580997,6.58
Rob Dillingham ,Chicago Bulls,6576120,6.58
Jalen Duren ,Detroit Pistons,6483144,6.48
Ochai Agbaji ,Toronto Raptors,6383525,6.38
Collin Murray-Boyles ,Toronto Raptors,6332520,6.33
Mark Williams ,Phoenix Suns,6276531,6.28
Ziaire Williams ,Brooklyn Nets,6250000,6.25
Day'Ron Sharpe ,Brooklyn Nets,6250000,6.25
John Konchar ,Utah Jazz,6165000,6.16
Taylor Hendricks ,Memphis Grizzlies,6127080,6.13
Saddiq Bey ,New Orleans Pelicans,6118644,6.12
Zach Edey ,Memphis Grizzlies,6045000,6.04
Khaman Maluach ,Phoenix Suns,6016080,6.02
Jaden Hardy ,Dallas Mavericks,6000000,6.0
Jake LaRavia ,Los Angeles Lakers,6000000,6.0
Cam Thomas ,Milwaukee Bucks,5993172,5.99
Cason Wallace ,Oklahoma City Thunder,5820240,5.82
Cody Williams ,Utah Jazz,5742480,5.74
Cedric Coward ,Memphis Grizzlies,5715120,5.72
D'Angelo Russell ,Dallas Mavericks,5685000,5.68
Al Horford ,Golden State Warriors,5685000,5.68
Tari Eason ,Houston Rockets,5675766,5.68
Haywood Highsmith ,Brooklyn Nets,5616000,5.62
Nicolas Batum ,LA Clippers,5601600,5.6
Jett Howard ,Orlando Magic,5529720,5.53
Guerschon Yabusele ,Chicago Bulls,5500000,5.5
Matas Buzelis ,Chicago Bulls,5455560,5.46
Noa Essengue ,Chicago Bulls,5429520,5.43
Kris Dunn ,LA Clippers,5426000,5.43
Dario Saric ,Sacramento Kings,5426000,5.43
Dalen Terry ,Chicago Bulls,5399118,5.4
Bradley Beal ,LA Clippers,5354000,5.35
Paul Reed ,Detroit Pistons,5335894,5.34
Dereck Lively II ,Dallas Mavericks,5253360,5.25
Nikola Topic ,Oklahoma City Thunder,5182920,5.18
Derik Queen ,New Orleans Pelicans,5157960,5.16
