PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,NET_RATING,OFF_RATING,DEF_RATING,PIE,PLAYER_HEIGHT,PLAYER_WEIGHT,AGE
1628998,Cody Martin,IND,4,13.8,1.8,3.5,0.5,1.0,0.5,0.2,0.0,0.5,0.2,0.2848101265822785,0.119,-20.2,79.0,99.2,0.045,6-6,205,30.0
1631127,Harrison Ingram,SAS,4,3.2,1.8,0.8,0.0,0.0,0.0,0.75,1.0,0.0,0.9500000000000001,0.9,0.105,16.7,126.7,110.0,0.099,6-5,230,23.0
1631115,Orlando Robinson,ORL,4,6.2,1.8,1.0,0.8,0.3,0.0,0.6,0.5,0.0,0.7307692307692308,0.6923076923076923,0.081,-22.4,122.4,144.9,0.074,6-10,235,25.0
200768,Kyle Lowry,PHI,7,8.9,1.7,0.6,1.1,0.3,0.1,0.3,0.3,0.75,0.42857142857142866,0.5108173076923077,0.088,8.5,110.7,102.2,0.058,6-0,196,39.0
1631451,Javonte Cooke,POR,14,5.5,1.6,0.9,0.5,0.4,0.0,0.29,0.176,1.0,0.3181818181818181,0.35650623885918004,0.191,-21.7,82.5,104.1,0.05,6-6,185,26.0
1642873,Amari Williams,BOS,14,8.0,1.6,2.1,0.4,0.1,0.6,0.438,0.0,0.667,0.45454545454545453,0.5347593582887701,0.097,-14.9,93.6,108.5,0.064,6-11,250,24.0
1642964,Brooks Barnhizer,OKC,28,7.6,1.6,1.7,0.5,0.2,0.1,0.409,0.333,0.667,0.43749999999999994,0.4739336492890995,0.107,-14.9,97.6,112.5,0.061,6-5,230,23.0
1631210,Jacob Toppin,ATL,5,3.4,1.6,0.2,0.2,0.0,0.2,0.667,0.0,0.0,0.6666666666666667,0.6666666666666667,0.14,31.3,102.7,71.4,0.181,6-9,200,25.0
1642938,Curtis Jones,DEN,6,5.1,1.5,0.8,0.5,0.0,0.0,0.286,0.111,0.0,0.34782608695652173,0.32608695652173914,0.211,3.0,107.8,104.8,0.021,6-3,195,24.0
1630623,Tyson Etienne,BKN,8,4.3,1.5,0.0,0.1,0.0,0.0,0.267,0.308,0.0,0.39473684210526316,0.39473684210526316,0.186,26.4,115.3,88.9,-0.041,6-0,200,26.0
1641748,Andre Jackson Jr.,MIL,25,6.5,1.4,0.8,1.0,0.2,0.1,0.25,0.192,0.9,0.2777777777777778,0.35425101214574894,0.148,-3.5,106.5,110.0,0.029,6-6,209,24.0
1642384,Isaiah Crawford,HOU,5,5.6,1.4,0.4,0.4,0.4,0.4,0.5,0.25,0.0,0.5833333333333334,0.5833333333333334,0.103,24.9,103.8,78.8,0.122,6-6,220,24.0
1642876,Adou Thiero,LAL,15,5.8,1.3,1.2,0.3,0.3,0.1,0.389,0.0,0.75,0.4166666666666667,0.4577464788732395,0.125,-4.2,113.3,117.5,0.033,6-7,220,21.0
1628502,Nigel Hayes-Davis,PHX,27,7.2,1.3,1.2,0.3,0.3,0.1,0.326,0.125,0.5,0.3823529411764706,0.37270642201834864,0.116,-17.7,95.1,112.8,0.028,6-7,254,31.0
1642367,Jonathan Mogbo,TOR,23,6.0,1.3,1.6,0.4,0.2,0.2,0.5,0.0,0.4,0.5,0.5046583850931677,0.102,-7.7,100.0,107.7,0.074,6-9,225,24.0
1642403,Isaac Jones,DET,4,4.6,1.3,0.5,0.3,0.0,0.0,0.5,0.0,0.5,0.5,0.5327868852459017,0.119,-46.5,75.7,122.2,0.0,6-8,245,25.0
1642502,Malevy Leons,GSW,5,4.2,1.2,1.8,0.2,0.2,0.2,0.333,0.0,1.0,0.33333333333333337,0.436046511627907,0.173,-31.9,93.6,125.5,0.1,6-9,210,26.0
203648,Thanasis Antetokounmpo,MIL,18,3.0,1.2,0.7,0.1,0.3,0.2,0.533,0.0,0.545,0.5,0.5639097744360901,0.172,22.2,107.0,84.7,0.097,6-7,219,33.0
1642950,Lachlan Olbrich,CHI,16,7.2,1.1,2.3,0.8,0.1,0.1,0.353,0.167,0.4,0.40909090909090906,0.4032258064516129,0.092,-12.6,93.8,106.4,0.047,6-8,236,22.0
1642863,Khaman Maluach,PHX,22,4.3,1.1,0.9,0.1,0.0,0.4,0.4,0.0,0.9,0.4444444444444445,0.49107142857142855,0.143,-17.3,90.7,108.1,0.029,7-1,250,19.0
1642282,Hunter Sallis,PHI,7,3.7,1.0,0.1,0.6,0.0,0.1,0.6,0.0,0.5,0.5714285714285715,0.6009615384615384,0.169,-22.8,89.5,112.3,0.024,6-4,185,22.0
203967,Dario Saric,SAC,5,8.2,1.0,1.2,0.4,0.0,0.0,0.167,0.333,1.0,0.25000000000000006,0.36337209302325585,0.1,0.0,104.7,104.7,0.015,6-10,225,31.0
1641794,Dillon Jones,NYK,3,4.8,1.0,1.0,0.3,0.3,0.0,0.333,0.5,0.0,0.44999999999999996,0.5,0.081,-18.8,96.9,115.6,0.065,6-5,235,24.0
1641780,Johni Broome,PHI,10,4.8,1.0,1.5,0.4,0.2,0.1,0.182,0.0,0.333,0.18181818181818182,0.2029220779220779,0.237,-12.6,89.3,101.9,-0.017,6-10,235,23.0
1641998,Trey Jemison III,NYK,10,5.7,0.9,1.5,0.2,0.1,0.2,0.571,0.0,1.0,0.5714285714285715,0.6048387096774194,0.086,-11.3,100.8,112.1,0.04,6-10,270,26.0
1642368,N'Faly Dante,ATL,4,3.9,0.8,1.8,0.0,0.5,0.0,0.25,0.0,1.0,0.3,0.3533568904593639,0.119,22.4,109.1,86.7,0.116,6-11,230,24.0
1641809,Drew Peterson,CHA,6,10.7,0.8,1.5,0.3,0.5,0.2,0.125,0.0,0.5,0.1111111111111111,0.14124293785310735,0.108,-7.6,103.1,110.7,0.0,6-8,205,26.0
202687,Bismack Biyombo,SAS,13,5.3,0.7,0.6,0.2,0.2,0.1,0.667,0.0,0.5,0.6,0.5952380952380952,0.062,-27.6,102.1,129.7,0.017,6-8,255,33.0
1642359,Pacôme Dadiet,NYK,20,3.4,0.7,0.7,0.5,0.2,0.0,0.231,0.125,1.0,0.35714285714285715,0.4206730769230769,0.092,-3.4,95.9,99.3,0.1,6-9,210,20.0
204060,Joe Ingles,MIN,18,4.0,0.6,0.3,0.8,0.4,0.0,0.375,0.333,1.0,0.625,0.6756756756756757,0.076,-16.0,98.3,114.3,0.065,6-8,220,38.0
202066,Garrett Temple,TOR,13,2.7,0.3,0.3,0.3,0.2,0.1,0.143,0.2,0.5,0.30000000000000004,0.25510204081632654,0.141,-29.6,78.4,108.0,0.021,6-5,195,39.0
1643141,Jahmyl Telfort,LAC,8,4.0,0.1,0.4,0.1,0.1,0.0,0.0,0.0,0.25,0.0,0.06944444444444445,0.093,-8.9,94.0,102.9,-0.064,6-7,,24.0
1642935,Chucky Hepburn,TOR,2,6.6,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.219,-47.6,73.1,120.7,-0.1,6-0,190,23.0
1630649,Stanley Umude,SAS,1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-150.0,50.0,200.0,-0.083,6-6,210,26.0
1642402,Enrique Freeman,MIN,1,4.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,51.1,140.0,88.9,0.095,6-9,220,25.0
1641787,Tosan Evbuomwan,CHA,5,1.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,-50.0,50.0,100.0,-0.043,6-8,217,24.0
1642917,Max Shulga,BOS,1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-50.0,50.0,100.0,-0.25,6-4,210,23.0
1628964,Mo Bamba,TOR,2,2.9,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.118,-83.3,50.0,133.3,-0.089,7-0,231,27.0
1642855,Noa Essengue,CHI,2,3.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.188,-111.4,60.0,171.4,-0.095,6-8,194,19.0
1643024,Chris Mañon,LAL,4,3.4,0.0,0.8,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.026,18.7,107.1,88.5,0.019,6-4,209,24.0
