PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,PIE,TS_PCT,NET_RATING,PER_APPROX,BPM_APPROX,VORP_APPROX,WIN_SHARES_APPROX,VALUE_SCORE,AGE_ADJ,VALUE_SCORE_ADJ,SALARY_M,CAP_PCT,SALARY_TIER,MARKET_VALUE_M,SURPLUS_VALUE_M,PLAY_STYLE,PLAY_STYLE_CN,OFFENSIVE_ROLE,DEFENSIVE_ROLE,POSITIONS,POSITION_FLEX,FIT_VERSATILITY_SCORE,CONTRACT_TYPE,CONTRACT_TYPE_CN,YEARS_REMAINING,CONTRACT_FLEXIBILITY,TRADE_RESTRICTIONS,TRADE_VALUE,TRADE_VALUE_TIER
Ryan Kalkbrenner,CHA,24.0,42,22.9,8.3,6.0,0.6,0.6,1.5,0.106,0.7496387283236994,-3.9,17.16,2.77,1.17,2.8,62.2,3,65.2,2.3,1.5,MINIMUM_PLUS,17.12,14.82,ROLE_PLAYER,角色球員型,FINISHER,RIM_PROTECTOR,C/PF,2,51.4,ROOKIE_SCALE,新秀合約,1,95.0,NONE,68.1,ALL_STAR
Austin Reaves,LAL,27.0,27,33.7,25.7,5.1,6.0,1.0,0.2,0.154,0.6640140553947912,2.7,24.0,5.47,1.73,3.7,88.3,0,88.3,13.94,9.11,MID_LEVEL,38.3,24.36,VERSATILE_SCORER,多元得分手型,SECONDARY_SCORER,LIMITED_DEFENDER,PG/SG,2,47.5,MID_LEVEL,中產,2,65.0,NONE,67.2,ALL_STAR
Tyrese Maxey,PHI,25.0,51,38.7,28.8,4.2,6.8,2.0,0.8,0.155,0.5976095617529881,2.5,25.25,6.96,4.49,8.44,91.2,0,91.2,37.96,24.81,MAX,41.32,3.36,VERSATILE_SCORER,多元得分手型,SECONDARY_SCORER,PERIMETER_STOPPER,PG,1,65.2,HIGH_VALUE,高薪,3,15.0,DIFFICULT_TO_MATCH,66.6,ALL_STAR
Dyson Daniels,ATL,22.0,52,33.7,11.4,6.5,6.2,1.9,0.4,0.096,0.5159304851556843,1.3,20.78,1.92,1.75,6.17,62.8,5,67.8,7.71,5.04,ROLE_PLAYER,18.68,10.97,ROLE_PLAYER,角色球員型,SECONDARY_PLAYMAKER,PERIMETER_STOPPER,SF/SG,2,79.2,ROOKIE_EXT,新秀延長,4,50.0,ROOKIE_EXT_WAIT,66.4,ALL_STAR
Evan Mobley,CLE,24.0,42,33.4,17.9,8.8,4.0,0.9,2.0,0.127,0.5765266683844369,5.5,24.05,6.18,2.92,5.71,84.3,3,87.3,46.39,30.32,SUPERMAX,37.3,-9.09,RIM_PROTECTOR,護框中鋒型,SECONDARY_PLAYMAKER,RIM_PROTECTOR,C/PF,2,74.0,MAX,頂薪,3,5.0,POSSIBLE_3MO_WAIT|HARD_TO_MATCH,66.3,ALL_STAR
Paolo Banchero,ORL,23.0,42,34.3,21.4,8.5,4.9,0.7,0.6,0.137,0.5609142377856993,-2.4,22.09,1.78,1.38,5.39,78.0,3,81.0,15.33,10.02,MID_LEVEL,31.0,15.67,ROLE_PLAYER,角色球員型,SECONDARY_SCORER,REBOUNDER,PF/SF,2,64.4,MID_LEVEL,中產,2,65.0,NONE,65.8,ALL_STAR
Kon Knueppel,CHA,20.0,53,32.2,18.9,5.5,3.5,0.7,0.2,0.117,0.6458447238928375,2.1,18.58,2.91,2.13,5.37,76.3,5,81.3,10.02,6.55,MID_LEVEL,31.3,21.28,THREE_AND_D,3D 球員型,FLOOR_SPACER,LIMITED_DEFENDER,PG/SG,2,47.5,ROOKIE_EXT,新秀延長,4,40.0,ROOKIE_EXT_WAIT,65.5,ALL_STAR
LeBron James,LAL,41.0,35,33.3,21.8,5.7,6.9,1.1,0.6,0.147,0.5853920515574652,-1.7,24.01,3.08,1.5,4.74,84.4,-5,79.4,52.63,34.4,SUPERMAX,20.58,-32.05,PLAYMAKER,組織者型,SECONDARY_SCORER,VERSATILE_DEFENDER,PF/SF,2,88.4,MAX,頂薪,2,15.0,HARD_TO_MATCH,65.3,ALL_STAR
Onyeka Okongwu,ATL,25.0,49,32.0,16.2,7.8,3.3,1.2,1.0,0.103,0.5898630935042237,-4.7,20.61,1.7,1.47,5.47,70.7,0,70.7,15.0,9.8,MID_LEVEL,20.7,5.7,STRETCH_BIG,空間型大個子,FLOOR_SPACER,VERSATILE_DEFENDER,PF/SF,2,86.6,MID_LEVEL,中產,2,65.0,NONE,65.2,ALL_STAR
Trey Murphy III,NOP,25.0,51,35.8,22.2,5.7,3.8,1.5,0.3,0.124,0.6191432396251673,-4.9,20.75,2.23,1.96,6.42,80.4,0,80.4,25.0,16.34,NEAR_MAX,30.4,5.4,TWO_WAY_WING,雙向側翼型,FLOOR_SPACER,PERIMETER_STOPPER,SF/SG,2,74.8,HIGH_VALUE,高薪,3,40.0,NONE,65.2,ALL_STAR
Anthony Black,ORL,22.0,52,31.2,16.1,4.1,4.0,1.4,0.7,0.096,0.5640414798206278,0.0,17.58,1.87,1.6,4.83,61.5,5,66.5,7.97,5.21,ROLE_PLAYER,17.9,9.93,TWO_WAY_WING,雙向側翼型,SECONDARY_PLAYMAKER,VERSATILE_DEFENDER,SF/SG,2,79.3,ROOKIE_EXT,新秀延長,4,50.0,ROOKIE_EXT_WAIT,64.9,ALL_STAR
Jarrett Allen,CLE,27.0,42,27.3,14.5,8.3,2.0,1.0,0.8,0.135,0.6555153707052441,5.5,21.21,5.0,2.04,4.12,81.9,0,81.9,20.0,13.07,NEAR_MAX,31.9,11.9,ROLE_PLAYER,角色球員型,FINISHER,REBOUNDER,PF/SF,2,66.5,HIGH_VALUE,高薪,3,40.0,NONE,64.9,ALL_STAR
Alex Sarr,WAS,20.0,41,28.2,17.2,7.8,2.8,0.8,2.0,0.126,0.5565622573129692,-11.6,21.28,-0.11,0.56,4.17,69.7,5,74.7,11.81,7.72,MID_LEVEL,24.7,12.89,RIM_PROTECTOR,護框中鋒型,FINISHER,RIM_PROTECTOR,C/PF,2,69.3,ROOKIE_EXT,新秀延長,4,40.0,ROOKIE_EXT_WAIT,64.7,ALL_STAR
Brandon Miller,CHA,23.0,37,30.3,20.4,4.6,3.3,1.1,0.9,0.108,0.561303103675985,5.8,17.15,3.97,1.7,3.26,66.0,3,69.0,11.97,7.82,MID_LEVEL,19.4,7.43,SCORING_GUARD,得分後衛型,SECONDARY_SCORER,VERSATILE_DEFENDER,SF/SG,2,83.1,ROOKIE_EXT,新秀延長,4,40.0,ROOKIE_EXT_WAIT,64.3,ALL_STAR
Karl-Anthony Towns,NYK,30.0,50,31.4,19.8,11.9,2.9,0.9,0.6,0.144,0.593382881802925,7.1,23.04,5.52,3.0,6.13,86.2,-2,84.2,54.13,35.38,SUPERMAX,34.2,-19.93,STRETCH_BIG,空間型大個子,SECONDARY_SCORER,REBOUNDER,C/PF,2,74.0,SUPERMAX,超級頂薪,4,0.0,NTC|HARD_TO_MATCH,63.8,ALL_STAR
Lauri Markkanen,UTA,28.0,40,34.7,26.9,7.0,2.1,1.0,0.5,0.138,0.6109193313953488,-1.6,21.08,3.15,1.82,4.96,81.6,0,81.6,46.39,30.32,SUPERMAX,31.6,-14.79,STRETCH_BIG,空間型大個子,SECONDARY_SCORER,VERSATILE_DEFENDER,C/PF,2,76.9,MAX,頂薪,3,5.0,POSSIBLE_3MO_WAIT|HARD_TO_MATCH,63.8,ALL_STAR
Isaiah Hartenstein,OKC,27.0,29,26.0,10.7,9.9,3.5,1.1,0.7,0.141,0.6411792905081495,13.0,22.25,7.08,1.74,2.84,82.1,0,82.1,28.5,18.63,NEAR_MAX,32.1,3.6,ROLE_PLAYER,角色球員型,FINISHER,REBOUNDER,C/PF,2,69.2,HIGH_VALUE,高薪,3,40.0,NONE,63.6,ALL_STAR
Collin Gillespie,PHX,26.0,53,28.4,13.4,4.2,4.7,1.4,0.2,0.119,0.596722479515497,5.2,16.67,3.12,1.96,4.25,69.4,0,69.4,2.3,1.5,MINIMUM_PLUS,19.64,17.34,TWO_WAY_WING,雙向側翼型,SECONDARY_PLAYMAKER,LIMITED_DEFENDER,PG,1,32.5,MINIMUM,底薪,1,95.0,NONE,63.5,ALL_STAR
Jamal Murray,DEN,28.0,49,35.7,25.8,4.3,7.6,1.0,0.4,0.149,0.6155754915060127,5.3,24.16,5.83,3.48,7.16,89.8,0,89.8,46.39,30.32,SUPERMAX,39.8,-6.59,SCORING_GUARD,得分後衛型,PRIMARY_PLAYMAKER,LIMITED_DEFENDER,PG/SG,2,59.7,MAX,頂薪,3,5.0,POSSIBLE_3MO_WAIT|HARD_TO_MATCH,62.8,ALL_STAR
Donovan Mitchell,CLE,29.0,50,33.8,29.0,4.5,5.9,1.5,0.3,0.157,0.6186006825938566,7.8,24.14,7.34,4.01,6.91,91.7,-2,89.7,46.39,30.32,SUPERMAX,39.7,-6.69,VERSATILE_SCORER,多元得分手型,PRIMARY_SCORER,PERIMETER_STOPPER,PG,1,59.8,MAX,頂薪,3,5.0,HARD_TO_MATCH,62.8,ALL_STAR
Deandre Ayton,LAL,27.0,46,28.2,13.2,8.5,0.9,0.6,1.0,0.118,0.6740196078431372,-1.2,20.21,2.63,1.53,4.44,73.5,0,73.5,8.1,5.29,ROLE_PLAYER,23.5,15.4,ROLE_PLAYER,角色球員型,FINISHER,REBOUNDER,C/PF,2,54.0,ROLE_PLAYER,角色球員,2,75.0,NONE,62.7,ALL_STAR
Marvin Bagley III,DAL,26.0,40,19.5,10.3,5.9,1.5,0.5,0.8,0.124,0.6612737544940935,-7.7,16.48,-0.83,0.23,2.18,60.0,0,60.0,2.3,1.5,MINIMUM_PLUS,14.0,11.7,STRETCH_BIG,空間型大個子,FLOOR_SPACER,LIMITED_DEFENDER,PF/SF,2,43.5,MINIMUM,底薪,1,95.0,NONE,62.6,ALL_STAR
Josh Giddey,CHI,23.0,34,32.1,18.6,8.6,8.8,0.9,0.3,0.151,0.578070611636002,-2.5,25.31,2.52,1.25,4.68,84.1,3,87.1,25.0,16.34,NEAR_MAX,37.1,12.1,FLOOR_GENERAL,地板指揮官型,PRIMARY_PLAYMAKER,LIMITED_DEFENDER,SF/SG,2,53.8,HIGH_VALUE,高薪,3,40.0,NONE,62.4,ALL_STAR
Pascal Siakam,IND,31.0,51,33.8,23.7,6.7,3.9,1.1,0.5,0.131,0.5579096045197739,-4.8,21.5,1.19,1.4,6.28,76.5,-2,74.5,45.55,29.77,SUPERMAX,23.27,-22.28,SCORING_GUARD,得分後衛型,SECONDARY_SCORER,VERSATILE_DEFENDER,SF/SG,2,84.8,NEAR_MAX,準頂薪,3,5.0,HARD_TO_MATCH,62.1,ALL_STAR
Naz Reid,MIN,26.0,55,26.3,14.2,6.4,2.5,1.0,0.9,0.123,0.5887230514096186,3.4,17.49,2.88,1.79,4.29,71.5,0,71.5,21.55,14.08,NEAR_MAX,21.5,-0.05,STRETCH_BIG,空間型大個子,FLOOR_SPACER,VERSATILE_DEFENDER,PF/SF,2,80.9,HIGH_VALUE,高薪,3,40.0,NONE,61.7,ALL_STAR
Dominick Barlow,PHI,22.0,42,23.8,8.4,5.0,1.2,1.0,0.6,0.088,0.618374558303887,2.3,14.26,1.22,0.82,2.41,46.9,5,51.9,2.27,1.48,MINIMUM_PLUS,9.14,6.87,ROLE_PLAYER,角色球員型,FINISHER,VERSATILE_DEFENDER,PF/SF,2,65.9,ROOKIE_SCALE,新秀合約,1,95.0,NONE,61.6,ALL_STAR
Mikal Bridges,NYK,29.0,54,34.6,15.8,4.2,4.0,1.4,0.8,0.107,0.6017672151127361,5.9,18.87,4.52,3.1,5.97,74.3,-2,72.3,24.9,16.27,NEAR_MAX,22.3,-2.6,TWO_WAY_WING,雙向側翼型,SECONDARY_PLAYMAKER,VERSATILE_DEFENDER,PG/SG,2,80.2,HIGH_VALUE,高薪,3,40.0,NONE,61.3,ALL_STAR
