PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,NET_RATING,OFF_RATING,DEF_RATING,PIE,PLAYER_HEIGHT,PLAYER_WEIGHT,AGE,SALARY,SALARY_M,PER_APPROX,BPM_APPROX,VORP_APPROX,WIN_SHARES_APPROX,AGE_CURVE_FACTOR,PROJECTED_VALUE,VALUE_SCORE,AGE_ADJ,VALUE_SCORE_ADJ,CAP_PCT,SALARY_TIER,MARKET_VALUE_M,SALARY_SURPLUS_M,CONTRACT_VALUE_RATIO,PLAY_STYLE,PLAY_STYLE_CN,OFFENSIVE_ROLE,DEFENSIVE_ROLE,POSITIONS,POSITION_FLEX,FIT_VERSATILITY_SCORE,PERF_SCORE_NORM,CONTRACT_SCORE_NORM,FIT_SCORE_NORM,TRADE_VALUE,TRADE_VALUE_TIER,SURPLUS_VALUE_M,CONTRACT_TYPE,CONTRACT_TYPE_CN,YEARS_REMAINING,TOTAL_CONTRACT_VALUE,TRADE_RESTRICTIONS,TRADE_KICKER_LIKELY,EXTENSION_ELIGIBLE,CONTRACT_FLEXIBILITY,SALARY_MATCH_MIN,SALARY_MATCH_MAX
1630578,Alperen Sengun,HOU,45,34.0,20.8,9.4,6.3,1.4,1.0,0.499,0.302,0.694,0.5185185185185186,0.5533092147265376,0.264,4.6,117.6,113.0,0.145,6-11,243.0,23.0,33944954.0,33.94,26.56,5.82,3.04,6.88,0.93,24.7,86.9,3,89.9,22.18,MAX,39.9,5.96,1.18,PLAYMAKER,組織者型,SECONDARY_SCORER,REBOUNDER,C/PF,2,86.3,92.1,22.7,89.0,74.0,FRANCHISE,5.96,HIGH_VALUE,高薪,3,101.82,NONE,False,NOT_YET_ELIGIBLE,40.0,0.0,42.67
1642270,Donovan Clingan,POR,50,27.5,11.5,11.4,2.0,0.5,1.4,0.524,0.318,0.667,0.5764705882352942,0.6017161992465466,0.15,-0.1,114.5,114.6,0.13,7-2,280.0,21.0,7178400.0,7.18,21.02,2.56,1.59,4.9,0.84,17.66,75.6,5,80.6,4.69,ROLE_PLAYER,30.6,23.42,4.26,ROLE_PLAYER,角色球員型,FINISHER,REBOUNDER,C/PF,2,55.5,82.5,85.0,44.9,73.7,FRANCHISE,23.42,ROOKIE_EXT,新秀延長,4,28.72,ROOKIE_EXT_WAIT,False,NOT_YET_ELIGIBLE,50.0,0.0,14.61
1642276,Kel'el Ware,MIA,51,22.2,11.2,9.2,0.6,0.8,1.0,0.534,0.397,0.781,0.6011904761904762,0.6211180124223602,0.175,-2.3,110.6,112.9,0.137,7-0,230.0,21.0,4443360.0,4.44,18.0,1.3,0.95,3.45,0.84,15.12,69.1,5,74.1,2.9,MINIMUM_PLUS,24.1,19.66,5.43,STRETCH_BIG,空間型大個子,FLOOR_SPACER,REBOUNDER,C/PF,2,51.4,75.9,100.0,39.1,72.7,FRANCHISE,19.66,ROOKIE_SCALE,新秀合約,2,8.88,NONE,False,ROOKIE_EXTENSION_ELIGIBLE,85.0,0.0,9.13
1631096,Chet Holmgren,OKC,47,29.4,17.6,8.7,1.6,0.5,2.0,0.564,0.359,0.774,0.6196581196581197,0.6537890044576524,0.217,14.3,117.6,103.3,0.15,7-1,208.0,23.0,13731368.0,13.73,22.56,9.1,3.9,5.28,0.93,20.98,87.5,3,90.5,8.97,MID_LEVEL,40.55,26.82,2.95,RIM_PROTECTOR,護框中鋒型,FINISHER,RIM_PROTECTOR,C/PF,2,55.5,92.7,58.5,44.9,72.2,FRANCHISE,26.82,ROOKIE_EXT,新秀延長,4,54.92,ROOKIE_EXT_WAIT,False,NOT_YET_ELIGIBLE,40.0,0.0,21.23
1630166,Deni Avdija,POR,45,34.4,25.5,7.2,6.7,0.8,0.6,0.467,0.354,0.8,0.5359281437125748,0.610632183908046,0.283,0.2,116.9,116.7,0.151,6-8,228.0,25.0,14375000.0,14.38,24.72,4.51,2.56,6.48,0.98,24.23,90.4,0,90.4,9.4,MID_LEVEL,40.44,26.06,2.81,VERSATILE_SCORER,多元得分手型,SECONDARY_SCORER,LIMITED_DEFENDER,SF/SG,2,57.3,92.6,55.7,47.5,72.1,FRANCHISE,26.06,MID_LEVEL,中產,2,28.76,NONE,False,EXTENSION_ELIGIBLE,65.0,0.0,21.88
1631114,Jalen Williams,OKC,25,29.4,17.1,4.7,5.4,1.3,0.4,0.465,0.29,0.835,0.4929078014184397,0.5405918057663127,0.252,7.7,115.2,107.4,0.129,6-5,211.0,24.0,6580997.0,6.58,19.12,3.73,1.07,2.38,0.96,18.36,70.1,3,73.1,4.3,ROLE_PLAYER,23.1,16.52,3.51,PLAYMAKER,組織者型,SECONDARY_PLAYMAKER,SOLID_DEFENDER,PG/SG,2,71.7,74.8,69.8,68.1,71.9,FRANCHISE,16.52,ROOKIE_EXT,新秀延長,4,26.32,ROOKIE_EXT_WAIT,False,NOT_YET_ELIGIBLE,50.0,0.0,13.41
1631170,Jaime Jaquez Jr.,MIA,50,28.8,15.1,5.4,4.7,0.8,0.3,0.507,0.278,0.748,0.5291666666666667,0.5630966587112172,0.214,3.2,111.9,108.7,0.113,6-6,225.0,24.0,3861600.0,3.86,18.68,1.59,1.31,4.56,0.96,17.93,66.9,3,69.9,2.52,MINIMUM_PLUS,19.94,16.08,5.17,ROLE_PLAYER,角色球員型,SECONDARY_PLAYMAKER,LIMITED_DEFENDER,PG/SG,2,53.8,71.6,100.0,42.5,71.4,FRANCHISE,16.08,ROOKIE_SCALE,新秀合約,1,3.86,NONE,False,ROOKIE_EXTENSION_ELIGIBLE,95.0,0.0,7.97
1642281,Jaylon Tyson,CLE,49,27.9,14.0,5.4,2.3,0.9,0.4,0.516,0.477,0.75,0.616504854368932,0.6361323155216284,0.184,4.2,117.9,113.7,0.096,6-6,215.0,23.0,3492480.0,3.49,16.88,2.89,1.7,3.91,0.93,15.7,64.1,3,67.1,2.28,MINIMUM_PLUS,18.26,14.77,5.23,THREE_AND_D,3D 球員型,FLOOR_SPACER,LIMITED_DEFENDER,PG/SG,2,57.9,68.7,100.0,48.4,71.4,FRANCHISE,14.77,ROOKIE_SCALE,新秀合約,1,3.49,NONE,False,ROOKIE_EXTENSION_ELIGIBLE,95.0,0.0,7.23
1642264,Stephon Castle,SAS,42,30.8,17.1,5.2,7.0,1.4,0.3,0.467,0.289,0.722,0.508,0.5647291941875826,0.251,6.5,114.1,107.6,0.113,6-6,215.0,21.0,9560520.0,9.56,21.25,4.35,2.09,4.66,0.84,17.85,75.0,5,80.0,6.25,ROLE_PLAYER,30.0,20.44,3.14,PLAYMAKER,組織者型,PRIMARY_PLAYMAKER,SOLID_DEFENDER,PG/SG,2,65.8,81.9,62.3,59.7,71.4,FRANCHISE,20.44,ROOKIE_EXT,新秀延長,4,38.24,ROOKIE_EXT_WAIT,False,NOT_YET_ELIGIBLE,50.0,0.0,17.06
1630572,Sandro Mamukelashvili,TOR,52,22.7,11.5,5.0,2.0,0.8,0.6,0.53,0.389,0.76,0.617283950617284,0.6403118040089086,0.177,3.5,113.2,109.6,0.122,6-9,240.0,26.0,2461463.0,2.46,15.78,2.38,1.31,3.15,1.0,15.78,66.0,0,66.0,1.61,MINIMUM_PLUS,17.6,15.14,7.15,STRETCH_BIG,空間型大個子,FLOOR_SPACER,LIMITED_DEFENDER,PF/SF,2,54.5,67.6,100.0,43.5,69.7,ALL_STAR,15.14,MINIMUM,底薪,1,2.46,NONE,False,EXTENSION_ELIGIBLE,95.0,0.0,5.17
