PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,PIE,NET_RATING,TS_PCT,VALUE_SCORE,AGE_ADJ,VALUE_SCORE_ADJ,MARKET_VALUE_M,SALARY_M,SURPLUS_VALUE_M
Damian Lillard,MIL,34.0,58,36.1,24.9,4.7,7.1,0.144,0.7,0.6196496117857853,81.7,-5,76.7,39.12,48.79,-9.67
Zach LaVine,SAC,30.0,74,35.2,23.3,4.3,4.2,0.115,-1.4,0.6395476504172156,69.2,-2,67.2,34.27,44.53,-10.26
Terry Rozier,MIA,31.0,64,25.9,10.6,3.7,2.6,0.078,-4.9,0.4977460555972953,27.5,-2,25.5,13.0,24.92,-11.92
Bruce Brown,NOP,28.0,41,22.5,8.3,4.0,2.0,0.078,-11.9,0.5058508044856168,21.3,0,21.3,10.86,23.0,-12.14
Kevin Durant,PHX,36.0,62,36.5,26.6,6.0,4.2,0.142,-1.0,0.6440054232035638,81.3,-5,76.3,38.91,51.18,-12.27
Jaylen Brown,BOS,28.0,63,34.3,22.2,5.8,4.5,0.114,9.5,0.5565583634175693,71.7,0,71.7,36.57,49.21,-12.64
CJ McCollum,NOP,33.0,56,32.7,21.1,3.8,4.1,0.097,-7.1,0.5476536544850499,44.6,-5,39.6,20.2,33.33,-13.13
Stephen Curry,GSW,37.0,70,32.2,24.5,4.4,6.0,0.145,5.7,0.6158254574703399,85.6,-5,80.6,41.11,55.76,-14.65
Devin Booker,PHX,28.0,75,37.3,25.6,4.1,7.1,0.122,-3.2,0.5894271504881194,66.4,0,66.4,33.86,49.21,-15.35
Lauri Markkanen,UTA,28.0,47,31.4,19.0,5.9,1.5,0.103,-6.1,0.571738083774675,49.7,0,49.7,25.35,42.18,-16.83
Fred VanVleet,HOU,31.0,60,35.2,14.1,3.7,5.6,0.093,6.2,0.5141481913652275,52.3,-2,50.3,25.65,42.85,-17.2
Jerami Grant,POR,31.0,47,32.4,14.4,3.5,2.1,0.07,-6.1,0.5240174672489084,26.5,-2,24.5,12.5,29.79,-17.29
Paul George,PHI,35.0,41,32.5,16.2,5.3,4.3,0.106,-3.8,0.5415886600695373,52.8,-5,47.8,24.38,49.21,-24.83
Bradley Beal,PHX,32.0,53,32.1,17.0,3.3,3.7,0.093,-8.0,0.5967424880651503,47.2,-2,45.2,23.05,50.2,-27.15
